channel_name,texts,vertex_type
yuradolgoruk,yuradolgoruk.yaml,channel
redembankment,redembankment.yaml,channel
orenburg_tezisy,orenburg_tezisy.yaml,channel
sharijnett,sharijnett.yaml,channel
klizmaromantizma,klizmaromantizma.yaml,channel
bamway,bamway.yaml,channel
vchkogpu,vchkogpu.yaml,channel
danilenko_svoe,danilenko_svoe.yaml,channel
llh_778,llh_778.yaml,channel
sopkadv,sopkadv.yaml,channel
shitandsable,shitandsable.yaml,channel
nikitaodintsov,nikitaodintsov.yaml,channel
fosterpr,fosterpr.yaml,channel
tatvybory,tatvybory.yaml,channel
vizioner_rf,vizioner_rf.yaml,channel
margaritasimonyan,margaritasimonyan.yaml,channel
privet_podved,privet_podved.yaml,channel
vlagr,vlagr.yaml,channel
infantmilitario,infantmilitario.yaml,channel
politsmol11,politsmol11.yaml,channel
cfps_fu,cfps_fu.yaml,channel
daily_2med,daily_2med.yaml,channel
mediatech,mediatech.yaml,channel
studenisfak,studenisfak.yaml,channel
hantyma,hantyma.yaml,channel
tatiana_17,tatiana_17.yaml,channel
birmanalex,birmanalex.yaml,channel
mysly,mysly.yaml,channel
covid2019_official,covid2019_official.yaml,channel
neolginskie,neolginskie.yaml,channel
vgudok,vgudok.yaml,channel
sevmorput,sevmorput.yaml,channel
news_matchtv,news_matchtv.yaml,channel
laplasmephi,laplasmephi.yaml,channel
kamchatskymacho,kamchatskymacho.yaml,channel
minpromtorgrf,minpromtorgrf.yaml,channel
armenianvendetta,armenianvendetta.yaml,channel
kartezianec,kartezianec.yaml,channel
chadayevru,chadayevru.yaml,channel
suzdaltsev,suzdaltsev.yaml,channel
munscanner,munscanner.yaml,channel
governorsjew,governorsjew.yaml,channel
navalnykrd,navalnykrd.yaml,channel
aavst55,aavst55.yaml,channel
moskva_sale,moskva_sale.yaml,channel
irttek_ru,irttek_ru.yaml,channel
valentinbogdanov,valentinbogdanov.yaml,channel
caparctic,caparctic.yaml,channel
vechernii_m,vechernii_m.yaml,channel
redaltaya,redaltaya.yaml,channel
zradaperemoga,zradaperemoga.yaml,channel
moscowzoo_official,moscowzoo_official.yaml,channel
barantchik,barantchik.yaml,channel
irkdrin,irkdrin.yaml,channel
mephimath,mephimath.yaml,channel
er_molnia,er_molnia.yaml,channel
legitimniy,legitimniy.yaml,channel
metodi4ka,metodi4ka.yaml,channel
cassandrasach,cassandrasach.yaml,channel
skipetrrf,skipetrrf.yaml,channel
krom35,krom35.yaml,channel
sorok40russia,sorok40russia.yaml,channel
teplovichok,teplovichok.yaml,channel
yarmedved,yarmedved.yaml,channel
bagramyan26,bagramyan26.yaml,channel
nwsru,nwsru.yaml,channel
mdsmol,mdsmol.yaml,channel
oldhellboy,oldhellboy.yaml,channel
insiderchronicle,insiderchronicle.yaml,channel
360tv,360tv.yaml,channel
boilerroomchannel,boilerroomchannel.yaml,channel
pamfilovets,pamfilovets.yaml,channel
lentv24,lentv24.yaml,channel
pzdcofficial,pzdcofficial.yaml,channel
wisedruidd,wisedruidd.yaml,channel
kuzbassinfo,kuzbassinfo.yaml,channel
boyars7,boyars7.yaml,channel
sidpolit,sidpolit.yaml,channel
utronews,utronews.yaml,channel
riakremlinpool,riakremlinpool.yaml,channel
